account,region,env,old_table,new_table,service,owner,notes,risk_level
# Template for DynamoDB table renaming - FILL OUT BEFORE PROCEEDING
# 
# Current Analysis (70 tables total):
# - aws-devops-* (59 tables): 58 dev + 1 terraform state lock
# - diatonic-prod-* (6 tables): production tables - HIGH RISK
# - ai-nexus-dev-* (4 tables): development tables
# - diatonic-ai-workbench-dev (1 table): development table
#
# INSTRUCTIONS:
# 1. Fill in new_table column with desired names
# 2. Specify owner for each service area
# 3. Set risk_level: LOW (dev), HIGH (prod), CRITICAL (state-lock)
# 4. Add notes for special handling requirements
#

# AI Nexus Development Tables (4 tables) - APPROVED FOR RENAME
313476888312,us-east-2,dev,ai-nexus-dev-stripe-customers,diatonic-ai-stripe-customers,diatonic-stripe,daclab-ai,Stripe payment processing,LOW
313476888312,us-east-2,dev,ai-nexus-dev-stripe-idempotency,diatonic-ai-stripe-idempotency,diatonic-stripe,daclab-ai,Stripe idempotency tracking,LOW
313476888312,us-east-2,dev,ai-nexus-dev-stripe-invoices,diatonic-ai-stripe-invoices,diatonic-stripe,daclab-ai,Stripe invoice management,LOW
313476888312,us-east-2,dev,ai-nexus-dev-stripe-subscriptions,diatonic-ai-stripe-subscriptions,diatonic-stripe,daclab-ai,Stripe subscription management,LOW

# AWS DevOps Development Tables (58 tables)
313476888312,us-east-2,dev,aws-devops-dev-activity-feed,PLEASE_FILL_NEW_NAME,aws-devops-core,OWNER_NAME,Activity tracking,LOW
313476888312,us-east-2,dev,aws-devops-dev-agent-execution-history,PLEASE_FILL_NEW_NAME,aws-devops-agents,OWNER_NAME,Agent execution logs,LOW
313476888312,us-east-2,dev,aws-devops-dev-agent-flows,PLEASE_FILL_NEW_NAME,aws-devops-agents,OWNER_NAME,Agent workflow definitions,LOW
313476888312,us-east-2,dev,aws-devops-dev-agent-templates,PLEASE_FILL_NEW_NAME,aws-devops-agents,OWNER_NAME,Agent templates,LOW
313476888312,us-east-2,dev,aws-devops-dev-agent-versions,PLEASE_FILL_NEW_NAME,aws-devops-agents,OWNER_NAME,Agent version control,LOW
313476888312,us-east-2,dev,aws-devops-dev-agents,PLEASE_FILL_NEW_NAME,aws-devops-agents,OWNER_NAME,Agent definitions,LOW
313476888312,us-east-2,dev,aws-devops-dev-aggregated-analytics,PLEASE_FILL_NEW_NAME,aws-devops-analytics,OWNER_NAME,Aggregated metrics,LOW
313476888312,us-east-2,dev,aws-devops-dev-application-settings,PLEASE_FILL_NEW_NAME,aws-devops-core,OWNER_NAME,Application configuration,LOW
313476888312,us-east-2,dev,aws-devops-dev-cognito-group-mappings,PLEASE_FILL_NEW_NAME,aws-devops-auth,OWNER_NAME,Cognito group management,LOW
313476888312,us-east-2,dev,aws-devops-dev-community-comments,PLEASE_FILL_NEW_NAME,aws-devops-community,OWNER_NAME,Community comments,LOW
313476888312,us-east-2,dev,aws-devops-dev-community-posts,PLEASE_FILL_NEW_NAME,aws-devops-community,OWNER_NAME,Community posts,LOW
313476888312,us-east-2,dev,aws-devops-dev-courses,PLEASE_FILL_NEW_NAME,aws-devops-education,OWNER_NAME,Course catalog,LOW
